,,Sample,Sample ID,Sample Amount,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Carbon,Carbon,Carbon,Carbon,Carbon,Carbon,Carbon
,,,,,Reten. Time [min],Response,Weight [mg],Weight [%],Peak Type,Element Name,Carbon Response Ratio,Reten. Time [min],Response,Weight [mg],Weight [%],Peak Type,Element Name,Carbon Response Ratio
Peach 0_1_29_2025 9_09_10 AM_002,INT7 - 1,Peach Bypass,Peach 0,0.406,1.98,75.973,0.012,2.92,Ordnr,Nitrogen,0.024,3.36,3190.135,0.188,46.18,Ordnr,Carbon,1
Calib\Std 1_1_29_2025 9_15_11 AM_003,INT7 - 1,Peach Standard 1,Std 1,0.855,1.98,161.415,0.025,2.92,Ordnr,Nitrogen,0.025,3.32,6452.776,0.394,46.1,Ordnr,Carbon,1
Calib\Std 2_1_29_2025 9_21_11 AM_004,INT7 - 1,Peach Standard 2,Std 2,1.493,1.98,284.302,0.044,2.93,Ordnr,Nitrogen,0.026,3.28,11104.965,0.696,46.64,Ordnr,Carbon,1
Calib\Std 3_1_29_2025 9_27_11 AM_005,INT7 - 1,Peach Standard 3,Std 3,2.216,1.98,426.439,0.065,2.95,Ordnr,Nitrogen,0.026,3.2,16102.642,1.032,46.55,Ordnr,Carbon,1
Calib\Std 4_1_29_2025 9_33_11 AM_006,INT7 - 1,Peach Standard 4,Std 4,2.997,1.98,570.227,0.087,2.92,Ordnr,Nitrogen,0.027,3.16,21168.725,1.384,46.18,Ordnr,Carbon,1
Calib\Std 5_1_29_2025 9_39_12 AM_007,INT7 - 1,Peach Standard 5,Std 5,4.002,1.98,766.004,0.117,2.93,Ordnr,Nitrogen,0.028,3.12,27703.124,1.859,46.46,Ordnr,Carbon,1
BRS1_1_29_2025 9_50_47 AM_008,INT7 - 1,BRS1,BRS1,9.073,1.98,113.994,0.018,0.19,Ordnr,Nitrogen,0.023,3.36,4867.464,0.293,3.23,Ordnr,Carbon,1
51,INT7 - 1,,51,20.026,1.98,298.929,0.046,0.23,Ordnr,Nitrogen,0.02,3.24,14766.942,0.941,4.7,Ordnr,Carbon,1
161_1_29_2025 10_02_47 AM_010,INT7 - 1,,161,20.074,1.98,888.211,0.136,0.68,Ordnr,Nitrogen,0.022,3.02,40900.936,2.909,14.49,Ordnr,Carbon,1
179_1_29_2025 10_08_48 AM_011,INT7 - 1,,179,19.93,2,922.451,0.141,0.71,Ordnr,Nitrogen,0.024,3.04,38691.253,2.724,13.67,Ordnr,Carbon,1
233_1_29_2025 10_14_48 AM_012,INT7 - 1,,233,19.983,1.98,324.974,0.05,0.25,Ordnr,Nitrogen,0.02,3.22,15944.218,1.021,5.11,Ordnr,Carbon,1
314_1_29_2025 10_20_48 AM_013,INT7 - 1,,314,19.919,1.98,461.055,0.071,0.36,Ordnr,Nitrogen,0.019,3.14,24599.969,1.63,8.19,Ordnr,Carbon,1
58_1_29_2025 10_26_48 AM_014,INT7 - 1,,58,20.039,2,278.573,0.043,0.21,Ordnr,Nitrogen,0.02,3.24,13987.267,0.888,4.43,Ordnr,Carbon,1
173_1_29_2025 10_32_49 AM_015,INT7 - 1,,173,19.993,2,594.265,0.091,0.46,Ordnr,Nitrogen,0.024,3.14,24773.001,1.643,8.22,Ordnr,Carbon,1
219_1_29_2025 10_38_49 AM_016,INT7 - 1,,219,19.998,1.98,474.769,0.073,0.36,Ordnr,Nitrogen,0.024,3.18,19470.555,1.264,6.32,Ordnr,Carbon,1
259_1_29_2025 10_44_49 AM_017,INT7 - 1,,259,20.032,2,659.034,0.101,0.5,Ordnr,Nitrogen,0.019,3.08,34160.185,2.356,11.76,Ordnr,Carbon,1
266_1_29_2025 10_50_49 AM_018,INT7 - 1,,266,19.995,2,487.62,0.075,0.37,Ordnr,Nitrogen,0.019,3.14,25196.313,1.674,8.37,Ordnr,Carbon,1
70_1_29_2025 10_56_50 AM_019,INT7 - 1,,70,20.005,1.98,161.625,0.025,0.12,Ordnr,Nitrogen,0.02,3.32,7903.209,0.487,2.44,Ordnr,Carbon,1
73_1_29_2025 11_02_50 AM_020,INT7 - 1,,73,20.008,2,236.533,0.036,0.18,Ordnr,Nitrogen,0.021,3.28,11069.239,0.694,3.47,Ordnr,Carbon,1
77_1_29_2025 11_08_50 AM_021,INT7 - 1,,77,20.004,1.98,195.289,0.03,0.15,Ordnr,Nitrogen,0.024,3.32,8199.662,0.507,2.53,Ordnr,Carbon,1
79_1_29_2025 11_14_50 AM_022,INT7 - 1,,79,19.956,2,292.396,0.045,0.23,Ordnr,Nitrogen,0.02,3.24,14277.503,0.908,4.55,Ordnr,Carbon,1
87_1_29_2025 11_20_51 AM_023,INT7 - 1,,87,19.982,2,109.815,0.017,0.09,Ordnr,Nitrogen,0.029,3.38,3745.941,0.222,1.11,Ordnr,Carbon,1
BRS2_1_29_2025 11_26_51 AM_024,INT7 - 1,BRS2,BRS2,12.041,1.98,146.242,0.023,0.19,Ordnr,Nitrogen,0.022,3.32,6649.904,0.407,3.38,Ordnr,Carbon,1
64_1_29_2025 11_32_51 AM_025,INT7 - 1,,64,20.009,1.98,242.618,0.037,0.19,Ordnr,Nitrogen,0.022,3.28,10989.684,0.689,3.44,Ordnr,Carbon,1
68_1_29_2025 11_38_51 AM_026,INT7 - 1,,68,19.994,1.98,146.861,0.023,0.11,Ordnr,Nitrogen,0.021,3.32,6874.043,0.421,2.11,Ordnr,Carbon,1
74_1_29_2025 11_44_52 AM_027,INT7 - 1,,74,20.049,2,116.38,0.018,0.09,Ordnr,Nitrogen,0.026,3.36,4443.556,0.266,1.33,Ordnr,Carbon,1
84_1_29_2025 11_50_52 AM_028,INT7 - 1,,84,20.022,2,249.754,0.038,0.19,Ordnr,Nitrogen,0.02,3.26,12495.439,0.788,3.94,Ordnr,Carbon,1
227_1_29_2025 11_56_52 AM_029,INT7 - 1,,227,19.954,1.98,145.606,0.023,0.11,Ordnr,Nitrogen,0.019,3.32,7653.945,0.471,2.36,Ordnr,Carbon,1
21_1_29_2025 12_02_52 PM_030,INT7 - 1,,21,19.931,1.98,70.792,0.011,0.06,Ordnr,Nitrogen,0.023,3.38,3102.796,0.182,0.91,Ordnr,Carbon,1
32_1_29_2025 12_08_53 PM_031,INT7 - 1,,32,20.009,2,153.776,0.024,0.12,Ordnr,Nitrogen,0.015,3.3,10049.727,0.627,3.13,Ordnr,Carbon,1
56_1_29_2025 12_14_53 PM_032,INT7 - 1,,56,20.075,2.04,733.762,0.112,0.56,Ordnr,Nitrogen,0.02,3.1,35934.115,2.498,12.44,Ordnr,Carbon,1
89_1_29_2025 12_20_54 PM_033,INT7 - 1,,89,20.082,2.02,630.839,0.097,0.48,Ordnr,Nitrogen,0.021,3.12,30065.271,2.038,10.15,Ordnr,Carbon,1
175_1_29_2025 12_26_54 PM_034,INT7 - 1,,175,20.01,2.02,677.322,0.104,0.52,Ordnr,Nitrogen,0.021,3.1,32790.535,2.248,11.24,Ordnr,Carbon,1
82_1_29_2025 12_32_55 PM_035,INT7 - 1,,82,19.942,2,387.508,0.059,0.3,Ordnr,Nitrogen,0.021,3.22,18179.783,1.174,5.89,Ordnr,Carbon,1
BRS3_1_29_2025 12_38_57 PM_036,INT7 - 1,BRS3,BRS3,32.042,2.02,419.218,0.064,0.2,Ordnr,Nitrogen,0.027,3.26,15246.636,0.973,3.04,Ordnr,Carbon,1
123_1_29_2025 12_44_58 PM_037,INT7 - 1,,123,20.022,2,160.611,0.025,0.12,Ordnr,Nitrogen,0.019,3.34,8385.377,0.519,2.59,Ordnr,Carbon,1
139_1_29_2025 12_50_59 PM_038,INT7 - 1,,139,19.986,2,124.312,0.019,0.1,Ordnr,Nitrogen,0.02,3.34,6293.898,0.384,1.92,Ordnr,Carbon,1
236_1_29_2025 12_57_00 PM_039,INT7 - 1,,236,20.091,2.02,1099.699,0.168,0.84,Ordnr,Nitrogen,0.024,3,46075.283,3.363,16.74,Ordnr,Carbon,1
343_1_29_2025 1_03_01 PM_040,INT7 - 1,,343,19.949,1.98,104.899,0.016,0.08,Ordnr,Nitrogen,0.02,3.36,5227.742,0.316,1.58,Ordnr,Carbon,1
41_1_29_2025 1_09_03 PM_041,INT7 - 1,,41,19.95,2,127.116,0.02,0.1,Ordnr,Nitrogen,0.021,3.36,6187.181,0.377,1.89,Ordnr,Carbon,1
26_1_29_2025 1_15_04 PM_042,INT7 - 1,,26,19.97,2,427.994,0.066,0.33,Ordnr,Nitrogen,0.02,3.18,21453.798,1.404,7.03,Ordnr,Carbon,1
109_1_29_2025 1_21_05 PM_043,INT7 - 1,,109,20.034,2,198.651,0.031,0.15,Ordnr,Nitrogen,0.021,3.3,9420.771,0.586,2.92,Ordnr,Carbon,1
121_1_29_2025 1_27_07 PM_044,INT7 - 1,,121,19.997,2,92.254,0.014,0.07,Ordnr,Nitrogen,0.026,3.38,3536.873,0.209,1.05,Ordnr,Carbon,1
164_1_29_2025 1_33_08 PM_045,INT7 - 1,,164,20.004,2,631.65,0.097,0.48,Ordnr,Nitrogen,0.023,3.12,27069.237,1.812,9.06,Ordnr,Carbon,1
14_1_29_2025 1_39_09 PM_046,INT7 - 1,,14,8.091,1.98,465.622,0.071,0.88,Ordnr,Nitrogen,0.025,3.18,18957.326,1.228,15.18,Ordnr,Carbon,1
BRS4_1_29_2025 3_19_33 PM_001,INT7 - 1,BRS4,BRS4,10,1.96,121.924,0.019,0.19,Ordnr,Nitrogen,0.023,3.32,5265.695,0.318,3.18,Ordnr,Carbon,1
170_1_29_2025 3_25_35 PM_002,INT7 - 1,,170,19.959,1.98,673.369,0.103,0.52,Ordnr,Nitrogen,0.022,3.06,31223.376,2.127,10.66,Ordnr,Carbon,1
272_1_29_2025 3_31_36 PM_003,INT7 - 1,,272,20.015,1.96,165.695,0.026,0.13,Ordnr,Nitrogen,0.024,3.3,6904.453,0.423,2.11,Ordnr,Carbon,1
138_1_29_2025 3_37_38 PM_004,INT7 - 1,,138,19.874,1.96,156.243,0.024,0.12,Ordnr,Nitrogen,0.018,3.28,8503.634,0.526,2.65,Ordnr,Carbon,1
166_1_29_2025 3_43_39 PM_005,INT7 - 1,,166,20.086,1.98,677.687,0.104,0.52,Ordnr,Nitrogen,0.021,3.06,32413.548,2.219,11.05,Ordnr,Carbon,1
181_1_29_2025 3_49_40 PM_006,INT7 - 1,,181,20.632,1.96,578.524,0.089,0.43,Ordnr,Nitrogen,0.024,3.12,23783.016,1.571,7.61,Ordnr,Carbon,1
182_1_29_2025 3_55_42 PM_007,INT7 - 1,,182,20.121,1.96,445.772,0.068,0.34,Ordnr,Nitrogen,0.023,3.16,19575.095,1.272,6.32,Ordnr,Carbon,1
15_1_29_2025 4_01_43 PM_008,INT7 - 1,,15,20.381,1.96,179.218,0.028,0.14,Ordnr,Nitrogen,0.022,3.28,8305.076,0.513,2.52,Ordnr,Carbon,1
184_1_29_2025 4_07_44 PM_009,INT7 - 1,,184,20.526,1.98,507.241,0.078,0.38,Ordnr,Nitrogen,0.016,3.06,31938.009,2.182,10.63,Ordnr,Carbon,1
85_1_29_2025 4_13_45 PM_010,INT7 - 1,,85,20.45,1.98,168.655,0.026,0.13,Ordnr,Nitrogen,0.021,3.3,7924.152,0.489,2.39,Ordnr,Carbon,1
334_1_29_2025 4_19_46 PM_011,INT7 - 1,,334,20.195,1.96,133.371,0.021,0.1,Ordnr,Nitrogen,0.02,3.3,6593.454,0.403,2,Ordnr,Carbon,1
323_1_29_2025 4_25_46 PM_012,INT7 - 1,,323,20.858,1.98,100.871,0.016,0.08,Ordnr,Nitrogen,0.016,3.32,6324.787,0.386,1.85,Ordnr,Carbon,1
BRS5_1_29_2025 4_31_48 PM_013,INT7 - 1,BRS5,BRS5,17.04,1.96,214.306,0.033,0.19,Ordnr,Nitrogen,0.023,3.26,9216.85,0.573,3.36,Ordnr,Carbon,1
103_1_29_2025 4_37_49 PM_014,INT7 - 1,,103,20.877,1.96,171.68,0.026,0.13,Ordnr,Nitrogen,0.02,3.28,8395.96,0.519,2.49,Ordnr,Carbon,1
47 reroll_1_29_2025 4_43_50 PM_015,INT7 - 1,,47 reroll,8.012,1.94,146.911,0.023,0.28,Ordnr,Nitrogen,0.019,3.28,7779.465,0.479,5.98,Ordnr,Carbon,1
335_1_29_2025 4_49_52 PM_016,INT7 - 1,,335,8.973,1.96,34.163,0.005,0.06,Ordnr,Nitrogen,0.015,3.34,2318.393,0.133,1.48,Ordnr,Carbon,1
Behrens Peach 0.5mg_1_29_2025 4_55_53 PM_017,INT7 - 1,,Behrens Peach 0.5mg,0.347,1.94,62.191,0.01,2.81,Ordnr,Nitrogen,0.023,3.32,2739.126,0.159,45.9,Ordnr,Carbon,1
Behrens Peach 1mg_1_29_2025 5_01_55 PM_018,INT7 - 1,,Behrens Peach 1mg,10.93,1.96,205.357,0.032,0.29,Ordnr,Nitrogen,0.025,3.26,8212.514,0.507,4.64,Ordnr,Carbon,1
Behrens Peach 2mg_1_29_2025 5_07_56 PM_019,INT7 - 1,,Behrens Peach 2mg,1.879,1.96,357.439,0.055,2.92,Ordnr,Nitrogen,0.026,3.2,13658.71,0.866,46.1,Ordnr,Carbon,1
Behrens Peach 4mg_1_29_2025 5_13_57 PM_020,INT7 - 1,,Behrens Peach 4mg,3.903,1.98,742.777,0.114,2.92,Ordnr,Nitrogen,0.028,3.1,26931.446,1.802,46.17,Ordnr,Carbon,1
Behrens 1AC_1_29_2025 5_19_59 PM_021,INT7 - 1,,Behrens 1AC,42.611,2.02,1004.035,0.154,0.36,Ordnr,Nitrogen,0.022,3.04,44943.545,3.261,7.65,Ordnr,Carbon,1
Behrens 2AC_1_29_2025 5_26_00 PM_022,INT7 - 1,,Behrens 2AC,43.539,2.04,953.076,0.146,0.34,Ordnr,Nitrogen,0.024,3.1,39293.641,2.774,6.37,Ordnr,Carbon,1
Behrens 3AC_1_29_2025 5_32_00 PM_023,INT7 - 1,,Behrens 3AC,36.148,2.04,899.54,0.138,0.38,Ordnr,Nitrogen,0.02,3.06,44544.246,3.226,8.92,Ordnr,Carbon,1
Behrens 4AC_1_29_2025 5_38_01 PM_024,INT7 - 1,,Behrens 4AC,40.736,2.02,662.19,0.101,0.25,Ordnr,Nitrogen,0.021,3.14,31352.974,2.137,5.25,Ordnr,Carbon,1
BRS6_1_29_2025 5_44_03 PM_025,INT7 - 1,BRS6,BRS6,34.915,1.98,462.787,0.071,0.2,Ordnr,Nitrogen,0.027,3.2,17300.715,1.114,3.19,Ordnr,Carbon,1
Behrens 5AC_1_29_2025 5_50_04 PM_026,INT7 - 1,,Behrens 5AC,35.949,2.04,1507.95,0.231,0.64,Ordnr,Nitrogen,0.023,2.94,64907.599,5.335,14.84,Ordnr,Carbon,1
Behrens 6AC_1_29_2025 5_56_04 PM_027,INT7 - 1,,Behrens 6AC,37.524,2.08,468.892,0.072,0.19,Ordnr,Nitrogen,0.008,3,57988.508,4.535,12.08,Ordnr,Carbon,1
Behrens 1AA_1_29_2025 6_02_05 PM_028,INT7 - 1,,Behrens 1AA,52.073,2.02,975.15,0.149,0.29,Ordnr,Nitrogen,0.049,3.26,19708.193,1.281,2.46,Ordnr,Carbon,1
Behrens 2AA_1_29_2025 6_08_05 PM_029,INT7 - 1,,Behrens 2AA,36.632,2.02,774.219,0.119,0.32,Ordnr,Nitrogen,0.034,3.22,22570.5,1.484,4.05,Ordnr,Carbon,1
Behrens 3AA_1_29_2025 6_14_06 PM_030,INT7 - 1,,Behrens 3AA,40.087,2,822.188,0.126,0.31,Ordnr,Nitrogen,0.033,3.18,24740.234,1.641,4.09,Ordnr,Carbon,1
Behrens 4AA_1_29_2025 6_20_08 PM_031,INT7 - 1,,Behrens 4AA,41.05,2,623.066,0.095,0.23,Ordnr,Nitrogen,0.03,3.2,20551.491,1.34,3.26,Ordnr,Carbon,1
Behrens 5AA_1_29_2025 6_26_09 PM_032,INT7 - 1,,Behrens 5AA,41.971,2.26,10.011,0.002,0,Ordnr,Nitrogen,0.02,3.4,506.594,0.021,0.05,Ordnr,Carbon,1
Behrens 6AA_1_29_2025 6_32_11 PM_033,INT7 - 1,,Behrens 6AA,46.26,2.02,318.24,0.049,0.11,Ordnr,Nitrogen,0.018,3.3,17728.417,1.143,2.47,Ordnr,Carbon,1
BRS7_1_29_2025 6_38_11 PM_034,INT7 - 1,BRS7,BRS7,20.083,2,487.632,0.075,0.37,Ordnr,Nitrogen,0.018,3.14,26534.591,1.772,8.83,Ordnr,Carbon,1
CAFI 43_1_29_2025 6_44_13 PM_035,INT7 - 1,,CAFI 43,19.993,1.96,132.973,0.021,0.1,Ordnr,Nitrogen,0.02,3.3,6668.2,0.408,2.04,Ordnr,Carbon,1
CAFI 84_1_29_2025 6_50_14 PM_036,INT7 - 1,,CAFI 84,20.004,1.98,225.635,0.035,0.17,Ordnr,Nitrogen,0.026,3.28,8549.032,0.529,2.65,Ordnr,Carbon,1
CAFI 95_1_29_2025 6_56_15 PM_037,INT7 - 1,,CAFI 95,19.998,1.98,279.215,0.043,0.21,Ordnr,Nitrogen,0.02,3.24,14139.965,0.898,4.49,Ordnr,Carbon,1
CAFI 97_1_29_2025 7_02_16 PM_038,INT7 - 1,,CAFI 97,20.005,1.98,210.744,0.032,0.16,Ordnr,Nitrogen,0.022,3.28,9445.66,0.587,2.94,Ordnr,Carbon,1
CAFI 103_1_29_2025 7_08_17 PM_039,INT7 - 1,,CAFI 103,19.969,1.96,452.171,0.069,0.35,Ordnr,Nitrogen,0.025,3.18,17837.24,1.151,5.76,Ordnr,Carbon,1
CAFI 3_1_29_2025 7_14_18 PM_040,INT7 - 1,,CAFI 3,19.996,1.98,188.347,0.029,0.15,Ordnr,Nitrogen,0.021,3.3,8960.419,0.556,2.78,Ordnr,Carbon,1
CAFI 5_1_29_2025 7_20_18 PM_041,INT7 - 1,,CAFI 5,19.987,2,429.628,0.066,0.33,Ordnr,Nitrogen,0.02,3.18,21119.141,1.38,6.91,Ordnr,Carbon,1
CAFI 101_1_29_2025 7_26_19 PM_042,INT7 - 1,,CAFI 101,19.992,1.98,232.471,0.036,0.18,Ordnr,Nitrogen,0.026,3.28,9068.382,0.563,2.82,Ordnr,Carbon,1
CAFI 102_1_29_2025 7_32_20 PM_043,INT7 - 1,,CAFI 102,19.969,1.96,118.034,0.018,0.09,Ordnr,Nitrogen,0.03,3.34,3992.678,0.238,1.19,Ordnr,Carbon,1
CAFI 107_1_29_2025 7_38_21 PM_044,INT7 - 1,,CAFI 107,19.981,1.98,321.236,0.049,0.25,Ordnr,Nitrogen,0.027,3.26,11728.731,0.738,3.69,Ordnr,Carbon,1
BRS8_1_29_2025 7_44_21 PM_045,INT7 - 1,BRS8,BRS8,17.069,2,214.388,0.033,0.19,Ordnr,Nitrogen,0.023,3.3,9277.17,0.576,3.38,Ordnr,Carbon,1