,,Sample,Sample ID,Sample Amount,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Carbon,Carbon,Carbon,Carbon,Carbon,Carbon,Carbon,notes
,,,,,Reten. Time [min],Response,Weight [mg],Weight [%],Peak Type,Element Name,Carbon Response Ratio,Reten. Time [min],Response,Weight [mg],Weight [%],Peak Type,Element Name,Carbon Response Ratio,
Bypass_2_13_2025 9_22_18 AM_001,INT7 - 1,Bypass,Bypass,0,2.1,4.907,0.001,100,Ordnr,Nitrogen,???,,,,,,,,
Calib\Std 1_2_13_2025 9_34_19 AM_003,INT7 - 1,Peach Standard 1,Std 1,0.846,2.02,165.44,0.025,2.94,Ordnr,Nitrogen,0.025,3.38,6686.824,0.391,46.26,Ordnr,Carbon,1,
Calib\Std 2_2_13_2025 9_40_19 AM_004,INT7 - 1,Peach Standard 2,Std 2,1.504,2.02,297.293,0.044,2.94,Ordnr,Nitrogen,0.026,3.32,11561.385,0.699,46.47,Ordnr,Carbon,1,
Calib\Std 3_2_13_2025 9_46_20 AM_005,INT7 - 1,Peach Standard 3,Std 3,2.204,2.02,433.034,0.064,2.92,Ordnr,Nitrogen,0.026,3.26,16592.373,1.026,46.54,Ordnr,Carbon,1,
Calib\Std 4_2_13_2025 9_52_20 AM_006,INT7 - 1,Peach Standard 4,Std 4,3.004,2.02,592.09,0.088,2.92,Ordnr,Nitrogen,0.027,3.2,21998.363,1.389,46.25,Ordnr,Carbon,1,
Calib\Std 5_2_13_2025 9_58_21 AM_007,INT7 - 1,Peach Standard 5,Std 5,3.993,2.04,792.782,0.117,2.94,Ordnr,Nitrogen,0.028,3.16,28631.846,1.854,46.44,Ordnr,Carbon,1,
BRS1_2_13_2025 10_12_17 AM_008,INT7 - 1,BRS1,BRS1,9.01,2.02,121.63,0.018,0.2,Ordnr,Nitrogen,0.024,3.4,5054.988,0.29,3.22,Ordnr,Carbon,1,
CCE 71_2_13_2025 10_18_18 AM_009,INT7 - 1,CCE 71,CCE 71,59.927,2.06,234.552,0.035,0.06,Ordnr,Nitrogen,0.038,3.42,6244.488,0.364,0.61,Ordnr,Carbon,1,
CCE 321_2_13_2025 10_24_18 AM_010,INT7 - 1,CCE 321,CCE 321,60.036,2.04,210.858,0.032,0.05,Ordnr,Nitrogen,0.013,3.28,16176.384,0.998,1.66,Ordnr,Carbon,1,
CCE 327_2_13_2025 10_30_19 AM_011,INT7 - 1,CCE 327,CCE 327,60.125,2.04,163.672,0.025,0.04,Ordnr,Nitrogen,0.024,3.38,6855.829,0.402,0.67,Ordnr,Carbon,1,
CCE 300_2_13_2025 10_36_19 AM_012,INT7 - 1,CCE 300,CCE 300,60.094,2.02,337.935,0.05,0.08,Ordnr,Nitrogen,0.019,3.26,17968.377,1.117,1.86,Ordnr,Carbon,1,
CCE 344_2_13_2025 10_42_20 AM_013,INT7 - 1,CCE 344,CCE 344,60.004,2.04,232.285,0.035,0.06,Ordnr,Nitrogen,0.025,3.36,9319.145,0.556,0.93,Ordnr,Carbon,1,
CCE 330_2_13_2025 10_48_21 AM_014,INT7 - 1,CCE 330,CCE 330,79.938,2.04,276.833,0.041,0.05,Ordnr,Nitrogen,0.023,3.34,11809.861,0.715,0.89,Ordnr,Carbon,1,
CCE 324_2_13_2025 10_54_22 AM_015,INT7 - 1,CCE 324,CCE 324,60.207,2.04,219.331,0.033,0.05,Ordnr,Nitrogen,0.019,3.34,11670.031,0.706,1.17,Ordnr,Carbon,1,
CCE 301_2_13_2025 11_00_22 AM_016,INT7 - 1,CCE 301,CCE 301,80.276,2.06,180.61,0.027,0.03,Ordnr,Nitrogen,0.02,3.38,9142.789,0.545,0.68,Ordnr,Carbon,1,
CCE 234_2_13_2025 11_06_23 AM_017,INT7 - 1,CCE 234,CCE 234,80.126,2.02,92.704,0.014,0.02,Ordnr,Nitrogen,0.023,3.42,4053.941,0.229,0.29,Ordnr,Carbon,1,"flagged, low"
CCE 18_2_13_2025 11_12_24 AM_018,INT7 - 1,CCE 18,CCE 18,59.84,2.04,175.723,0.026,0.04,Ordnr,Nitrogen,0.023,3.4,7688.455,0.454,0.76,Ordnr,Carbon,1,
CCE 12_2_13_2025 11_18_26 AM_019,INT7 - 1,CCE 12,CCE 12,60,2.06,149.671,0.023,0.04,Ordnr,Nitrogen,0.024,3.42,6147.791,0.358,0.6,Ordnr,Carbon,1,
CCE 30_2_13_2025 11_24_26 AM_020,INT7 - 1,CCE 30,CCE 30,60.079,2.06,190.133,0.029,0.05,Ordnr,Nitrogen,0.021,3.4,9213.339,0.55,0.91,Ordnr,Carbon,1,
CCE 33_2_13_2025 11_30_27 AM_021,INT7 - 1,CCE 33,CCE 33,79.934,2.08,193.081,0.029,0.04,Ordnr,Nitrogen,0.028,3.42,7018.402,0.412,0.52,Ordnr,Carbon,1,
CCE 42_2_13_2025 11_36_28 AM_022,INT7 - 1,CCE 42,CCE 42,59.957,2.06,197.009,0.03,0.05,Ordnr,Nitrogen,0.022,3.38,8935.483,0.532,0.89,Ordnr,Carbon,1,
CCE 200_2_13_2025 11_42_28 AM_023,INT7 - 1,CCE 200,CCE 200,79.994,2.1,181.856,0.027,0.03,Ordnr,Nitrogen,0.019,3.42,9462.001,0.565,0.71,Ordnr,Carbon,1,
BRS2_2_13_2025 11_48_29 AM_024,INT7 - 1,BRS2,BRS2,12.142,2.04,162.418,0.024,0.2,Ordnr,Nitrogen,0.024,3.42,6799.574,0.398,3.28,Ordnr,Carbon,1,
CCE 236_2_13_2025 11_54_29 AM_025,INT7 - 1,CCE 236,CCE 236,40.055,2.08,2134.349,0.315,0.79,Ordnr,Nitrogen,0.03,2.88,71090.936,5.681,14.18,Ordnr,Carbon,1,"rerun later in the tray, don't use"
CCE 94_2_13_2025 12_00_30 PM_026,INT7 - 1,CCE 94,CCE 94,40.249,2.06,187.694,0.028,0.07,Ordnr,Nitrogen,0.03,3.42,6268.104,0.365,0.91,Ordnr,Carbon,1,
CCE 62_2_13_2025 12_06_31 PM_027,INT7 - 1,CCE 62,CCE 62,30.31,2.04,195.894,0.029,0.1,Ordnr,Nitrogen,0.034,3.42,5825.762,0.338,1.12,Ordnr,Carbon,1,close enough to stds to use
CCE 9_2_13_2025 12_12_32 PM_028,INT7 - 1,CCE 9,CCE 9,40.46,2.04,137.826,0.021,0.05,Ordnr,Nitrogen,0.026,3.42,5324.638,0.307,0.76,Ordnr,Carbon,1,"flagged, low"
CCE 142_2_13_2025 12_18_32 PM_029,INT7 - 1,CCE 142,CCE 142,40.005,2.08,197.537,0.03,0.07,Ordnr,Nitrogen,0.024,3.4,8128.76,0.481,1.2,Ordnr,Carbon,1,
CCE 199_2_13_2025 12_24_33 PM_030,INT7 - 1,CCE 199,CCE 199,40.006,2.06,146.453,0.022,0.06,Ordnr,Nitrogen,0.02,3.4,7461.545,0.44,1.1,Ordnr,Carbon,1,close enough to stds to use
CCE 320_2_13_2025 12_30_34 PM_031,INT7 - 1,CCE 320,CCE 320,39.977,2.04,351.029,0.052,0.13,Ordnr,Nitrogen,0.018,3.26,19313.816,1.207,3.02,Ordnr,Carbon,1,
CCE 323_2_13_2025 12_36_35 PM_032,INT7 - 1,CCE 323,CCE 323,40.002,2.04,202.166,0.03,0.08,Ordnr,Nitrogen,0.016,3.32,12369.319,0.751,1.88,Ordnr,Carbon,1,
CCE 54_2_13_2025 12_42_36 PM_033,INT7 - 1,CCE 54,CCE 54,39.957,2.06,185.669,0.028,0.07,Ordnr,Nitrogen,0.027,3.4,6972.425,0.409,1.02,Ordnr,Carbon,1,
BRS3_2_13_2025 12_48_36 PM_034,INT7 - 1,BRS3,BRS3,32.01,2.08,420.93,0.063,0.2,Ordnr,Nitrogen,0.025,3.32,16789.688,1.039,3.25,Ordnr,Carbon,1,
BRS4_2_13_2025 12_54_36 PM_035,INT7 - 1,BRS4,BRS4,9.926,2.04,129.521,0.02,0.2,Ordnr,Nitrogen,0.023,3.42,5563.96,0.322,3.24,Ordnr,Carbon,1,
BRS5_2_13_2025 1_00_38 PM_036,INT7 - 1,BRS5,BRS5,16.89,2.04,223.799,0.033,0.2,Ordnr,Nitrogen,0.024,3.38,9248.829,0.552,3.27,Ordnr,Carbon,1,
BRS6_2_13_2025 1_06_39 PM_037,INT7 - 1,BRS6,BRS6,34.878,2.06,464.494,0.069,0.2,Ordnr,Nitrogen,0.025,3.28,18441.051,1.149,3.29,Ordnr,Carbon,1,
BRS7_2_13_2025 1_12_40 PM_038,INT7 - 1,BRS7,BRS7,19.966,2.06,264.253,0.039,0.2,Ordnr,Nitrogen,0.025,3.36,10745.909,0.647,3.24,Ordnr,Carbon,1,
BRS8_2_13_2025 1_18_40 PM_039,INT7 - 1,BRS8,BRS8,17.128,2.04,228.336,0.034,0.2,Ordnr,Nitrogen,0.024,3.38,9491.342,0.567,3.31,Ordnr,Carbon,1,
CCE 236_2_13_2025 1_43_05 PM_001,INT7 - 1,CCE 236,CCE 236,8.005,2.04,449.432,0.067,0.83,Ordnr,Nitrogen,0.021,3.24,20980.889,1.32,16.49,Ordnr,Carbon,1,