"","project","date","fire_scar","ID","sample_id","horizon","mineral_depth","min_coregrab","mineral_notes","general_notes"
"1","CCE","2024-08-05","Dry Creek",2,"DrCr1A","M1",5,"Core","","Hit water at 20cm"
"2","CCE","2024-08-05","Dry Creek",3,"DrCr1A","M2",5,"Core","","Hit water at 20cm"
"3","CCE","2024-08-05","Dry Creek",5,"DrCr1B","M1",5,"Core","","Sampled at 13.3 due to tree roots "
"4","CCE","2024-08-05","Dry Creek",6,"DrCr1B","M2",5,"Core","","Sampled at 13.3 due to tree roots "
"5","CCE","2024-08-05","Dry Creek",8,"DrCr1C","M1",5,"Core","","Hit water at 15"
"6","CCE","2024-08-05","Dry Creek",9,"DrCr1C","M2",5,"Core","","Hit water at 15"
"7","CCE","2024-08-05","Dry Creek",11,"DrCr2A","M1",5,"Core","",""
"8","CCE","2024-08-05","Dry Creek",12,"DrCr2A","M2",5,"Core","",""
"9","CCE","2024-08-05","Dry Creek",14,"DrCr2B","M1",5,"Core","","No at roots visible on nearby trees"
"10","CCE","2024-08-05","Dry Creek",15,"DrCr2B","M2",5,"Core","","No at roots visible on nearby trees"
"11","CCE","2024-08-05","Dry Creek",17,"DrCr2C","M1",5,"Core","",""
"12","CCE","2024-08-05","Dry Creek",18,"DrCr2C","M2",5,"Core","",""
"13","CCE","2024-08-05","Dry Creek",20,"DrCr3A","M1",5,"Core","","Hit water at 16"
"14","CCE","2024-08-05","Dry Creek",21,"DrCr3A","M2",5,"Core","","Hit water at 16"
"15","CCE","2024-08-05","Dry Creek",23,"DrCr3B","M1",5,"Core","",""
"16","CCE","2024-08-05","Dry Creek",24,"DrCr3B","M2",5,"Core","",""
"17","CCE","2024-08-05","Dry Creek",26,"DrCr3C","M1",5,"Core","",""
"18","CCE","2024-08-05","Dry Creek",27,"DrCr3C","M2",5,"Core","",""
"19","CCE","2024-08-06","Dry Creek",29,"DrCr4A","M1",5,"Core","","Thaw depth I think was still mineral, but extremely dense and hard to push through, so couldn’t get it any further"
"20","CCE","2024-08-06","Dry Creek",30,"DrCr4A","M2",5,"Core","","Thaw depth I think was still mineral, but extremely dense and hard to push through, so couldn’t get it any further"
"21","CCE","2024-08-06","Dry Creek",32,"DrCr4B","M1",5,"Core","","Mineral all the way down but really hard to press thaw probe through"
"22","CCE","2024-08-06","Dry Creek",33,"DrCr4B","M2",5,"Core","","Mineral all the way down but really hard to press thaw probe through"
"23","CCE","2024-08-06","Dry Creek",35,"DrCr4C","M1",5,"Core","","Really hard packed mineral, hard to get thaw probe through"
"24","CCE","2024-08-06","Dry Creek",36,"DrCr4C","M2",5,"Core","","Really hard packed mineral, hard to get thaw probe through"
"25","CCE","2024-08-06","Dry Creek",38,"DrCr5A","M1",5,"Core","","Mineral too dense for thaw probe"
"26","CCE","2024-08-06","Dry Creek",39,"DrCr5A","M2",5,"Core","","Mineral too dense for thaw probe"
"27","CCE","2024-08-06","Dry Creek",41,"DrCr5B","M1",5,"Core","","Mineral too dense to probe further"
"28","CCE","2024-08-06","Dry Creek",42,"DrCr5B","M2",5,"Core","","Mineral too dense to probe further"
"29","CCE","2024-08-06","Dry Creek",44,"DrCr5C","M1",5,"Core","","Sampled at 23.6 due to roots. Mineral too dense to probe"
"30","CCE","2024-08-06","Dry Creek",45,"DrCr5C","M2",5,"Core","","Sampled at 23.6 due to roots. Mineral too dense to probe"
"31","CCE","2024-08-06","Dry Creek",47,"DrCr6A","M1",6,"Core","",""
"32","CCE","2024-08-06","Dry Creek",48,"DrCr6A","M2",4,"Core","",""
"33","CCE","2024-08-06","Dry Creek",50,"DrCr6B","M1",5,"Core","",""
"34","CCE","2024-08-06","Dry Creek",51,"DrCr6B","M2",5,"Core","",""
"35","CCE","2024-08-06","Dry Creek",53,"DrCr6C","M1",5,"Core","",""
"36","CCE","2024-08-06","Dry Creek",54,"DrCr6C","M2",5,"Core","",""
"37","CCE","2024-07-14","Haystack",56,"Hays1A","M1",6,"Core","Top=0-6 cm no M2 gravel",""
"38","CCE","2024-07-14","Haystack",58,"Hays1B","M1",5,"Core","M1 and m2 both 5 cm",""
"39","CCE","2024-07-14","Haystack",59,"Hays1B","M2",5,"Core","M1 and m2 both 5 cm",""
"40","CCE","2024-07-14","Haystack",61,"Hays1C","M1",5,"Core","M1 5, m2 5 cm",""
"41","CCE","2024-07-14","Haystack",62,"Hays1C","M2",5,"Core","M1 5, m2 5 cm",""
"42","CCE","2024-07-14","Haystack",64,"Hays2A","M1",5,"Core","M1 and m2 both 5 cm",""
"43","CCE","2024-07-14","Haystack",65,"Hays2A","M2",5,"Core","M1 and m2 both 5 cm",""
"44","CCE","2024-07-14","Haystack",67,"Hays2B","M1",5,"Core","M1 and m2 both 5 cm",""
"45","CCE","2024-07-14","Haystack",68,"Hays2B","M2",5,"Core","M1 and m2 both 5 cm",""
"46","CCE","2024-07-14","Haystack",70,"Hays2C","M1",5,"Core","M1 and m2 both 5 cm, slightly compacted core",""
"47","CCE","2024-07-14","Haystack",71,"Hays2C","M2",5,"Core","M1 and m2 both 5 cm, slightly compacted core",""
"48","CCE","2024-07-14","Haystack",73,"Hays3A","M1",5,"Core","M1 and 2 bot cm",""
"49","CCE","2024-07-14","Haystack",74,"Hays3A","M2",5,"Core","M1 and 2 bot cm",""
"50","CCE","2024-07-14","Haystack",76,"Hays3B","M1",5,"Core","Some compaction, m1 and m2 depth 5 cm",""
"51","CCE","2024-07-14","Haystack",77,"Hays3B","M2",5,"Core","Some compaction, m1 and m2 depth 5 cm",""
"52","CCE","2024-07-14","Haystack",79,"Hays3C","M1",5,"Core","M1 and m2 5 cm deep",""
"53","CCE","2024-07-14","Haystack",80,"Hays3C","M2",5,"Core","M1 and m2 5 cm deep",""
"54","CCE","2024-07-25","Haystack",82,"Hays4A","M1",5,"Core","Big rock after M1, no M2 sample",""
"55","CCE","2024-07-25","Haystack",84,"Hays4B","M1",5,"Core","","Closest tree for AR was living"
"56","CCE","2024-07-25","Haystack",85,"Hays4B","M2",5,"Core","","Closest tree for AR was living"
"57","CCE","2024-07-25","Haystack",87,"Hays4C","M1",8,"Core","Very crumbly, M1 and M2 combined","Removed 2cm of rock between org and mineral, hit rock after 8cm of mineral "
"58","CCE","2024-07-25","Haystack",89,"Hays5A","M1",3,"Core","Rock beneath 3 cm unable to remove",""
"59","CCE","2024-07-25","Haystack",91,"Hays5B","M1",5,"Core","Rock below M1 sample, no M2 sample",""
"60","CCE","2024-07-25","Haystack",93,"Hays5C","M1",5,"Core","M1 sample contains some organic, at interface ",""
"61","CCE","2024-07-25","Haystack",94,"Hays5C","M2",5,"Core","M1 sample contains some organic, at interface ",""
"62","CCE","2024-07-25","Haystack",97,"Hays6B","M1",5,"Core","",""
"63","CCE","2024-07-25","Haystack",98,"Hays6B","M2",5,"Core","",""
"64","CCE","2024-07-25","Haystack",100,"Hays6C","M1",5,"Core","Very rocky and difficult to remove mineral soil samples. Depth of M1 estimate based of hole depth, sample came out in multiple pieces because of rock. Surface contains some organic. No M2 sample because of rock",""
"65","CCE","2024-07-15","Lost Horse",102,"LoHo1A","M1",5,"Core","",""
"66","CCE","2024-07-15","Lost Horse",103,"LoHo1A","M2",5,"Core","",""
"67","CCE","2024-07-15","Lost Horse",105,"LoHo1B","M1",5,"Core","Crumbly",""
"68","CCE","2024-07-15","Lost Horse",106,"LoHo1B","M2",5,"Core","Crumbly",""
"69","CCE","2024-07-15","Lost Horse",108,"LoHo1C","M1",5,"Core","",""
"70","CCE","2024-07-15","Lost Horse",109,"LoHo1C","M2",5,"Core","",""
"71","CCE","2024-07-15","Lost Horse",111,"LoHo2A","M1",5,"Core","",""
"72","CCE","2024-07-15","Lost Horse",112,"LoHo2A","M2",5,"Core","",""
"73","CCE","2024-07-15","Lost Horse",114,"LoHo2B","M1",5,"Core","Rocky",""
"74","CCE","2024-07-15","Lost Horse",115,"LoHo2B","M2",3,"Core","Rocky",""
"75","CCE","2024-07-15","Lost Horse",117,"LoHo2C","M1",5,"Core","Big rock removed before mineral",""
"76","CCE","2024-07-15","Lost Horse",118,"LoHo2C","M2",5,"Core","Big rock removed before mineral",""
"77","CCE","2024-07-15","Lost Horse",120,"LoHo3A","M1",5,"Core","",""
"78","CCE","2024-07-15","Lost Horse",121,"LoHo3A","M2",5,"Core","",""
"79","CCE","2024-07-15","Lost Horse",123,"LoHo3B","M1",5,"Core","",""
"80","CCE","2024-07-15","Lost Horse",124,"LoHo3B","M2",5,"Core","",""
"81","CCE","2024-07-15","Lost Horse",126,"LoHo3C","M1",5,"Core","",""
"82","CCE","2024-07-15","Lost Horse",127,"LoHo3C","M2",5,"Core","",""
"83","CCE","2024-07-18","Lost Horse",129,"LoHo4A","M1",5,"Core","",""
"84","CCE","2024-07-18","Lost Horse",130,"LoHo4A","M2",5,"Core","",""
"85","CCE","2024-07-18","Lost Horse",132,"LoHo4B","M1",5,"Core","Really crumbly m1, top 2 cm ashy. Because no organic sample, top of m1 had fine pieces or organic material. ",""
"86","CCE","2024-07-18","Lost Horse",133,"LoHo4B","M2",5,"Core","Really crumbly m1, top 2 cm ashy. Because no organic sample, top of m1 had fine pieces or organic material. ",""
"87","CCE","2024-07-18","Lost Horse",135,"LoHo4C","M1",5,"Core","",""
"88","CCE","2024-07-18","Lost Horse",136,"LoHo4C","M2",5,"Core","",""
"89","CCE","2024-07-18","Lost Horse",138,"LoHo5A","M1",5,"Core","Removed 3 cm of rock between organic and mineral",""
"90","CCE","2024-07-18","Lost Horse",139,"LoHo5A","M2",5,"Core","Removed 3 cm of rock between organic and mineral",""
"91","CCE","2024-07-18","Lost Horse",141,"LoHo5B","M1",5,"Core","",""
"92","CCE","2024-07-18","Lost Horse",142,"LoHo5B","M2",5,"Core","",""
"93","CCE","2024-07-18","Lost Horse",144,"LoHo5C","M1",5,"Core","","4cm of rock/mineral/organic that was removed"
"94","CCE","2024-07-18","Lost Horse",146,"LoHo6A","M1",5,"Core","About 6 cm of rock removed between organic and mineral.",""
"95","CCE","2024-07-18","Lost Horse",147,"LoHo6A","M2",5,"Core","About 6 cm of rock removed between organic and mineral.",""
"96","CCE","2024-07-18","Lost Horse",149,"LoHo6B","M1",5,"Core","About 2cm of rocks removed between organic and mineral ",""
"97","CCE","2024-07-18","Lost Horse",150,"LoHo6B","M2",5,"Core","About 2cm of rocks removed between organic and mineral ",""
"98","CCE","2024-07-18","Lost Horse",152,"LoHo6C","M1",5,"Core","","Removed 6cm of rock between organic and mineral"
"99","CCE","2024-07-18","Lost Horse",153,"LoHo6C","M2",5,"Core","","Removed 6cm of rock between organic and mineral"
"100","CCE","2024-07-28","McCoy Creek",155,"McCr1A","M1",5,"Grab","Unable to core volumetrically, m1 sample is approximate depth grab sample from core estimated based on hole depth. No m2 sample.","Very wet, standing water while sampling, ar hole depth to mineral"
"101","CCE","2024-07-28","McCoy Creek",157,"McCr1B","M1",5,"Core","Top 2 cm mineral mixed with organic","Sampling between tussocks, very wet, standing water at 30 cm depth, AR hole depth same as sample depth"
"102","CCE","2024-07-28","McCoy Creek",158,"McCr1B","M2",5,"Core","Top 2 cm mineral mixed with organic","Sampling between tussocks, very wet, standing water at 30 cm depth, AR hole depth same as sample depth"
"103","CCE","2024-07-28","McCoy Creek",160,"McCr1C","M1",5,"Core","Char in mineral sample! Legacy c!",""
"104","CCE","2024-07-28","McCoy Creek",161,"McCr1C","M2",5,"Core","Char in mineral sample! Legacy c!",""
"105","CCE","2024-07-29","McCoy Creek",163,"McCr2A","M1",5,"Core","","Sampled between 2 tussocks"
"106","CCE","2024-07-29","McCoy Creek",164,"McCr2A","M2",5,"Core","","Sampled between 2 tussocks"
"107","CCE","2024-07-29","McCoy Creek",166,"McCr2B","M1",5,"Core","",""
"108","CCE","2024-07-29","McCoy Creek",167,"McCr2B","M2",5,"Core","",""
"109","CCE","2024-07-29","McCoy Creek",169,"McCr2C","M1",5,"Core","",""
"110","CCE","2024-07-29","McCoy Creek",170,"McCr2C","M2",5,"Core","",""
"111","CCE","2024-08-07","McCoy Creek",172,"McCr3A","M1",5,"Core","",""
"112","CCE","2024-08-07","McCoy Creek",173,"McCr3A","M2",5,"Core","",""
"113","CCE","2024-08-07","McCoy Creek",175,"McCr3B","M1",5,"Core","","Ar on downed tree"
"114","CCE","2024-08-07","McCoy Creek",176,"McCr3B","M2",5,"Core","","Ar on downed tree"
"115","CCE","2024-08-07","McCoy Creek",178,"McCr3C","M1",5,"Core","Hit frozen ground",""
"116","CCE","2024-08-07","McCoy Creek",179,"McCr3C","M2",5,"Core","Hit frozen ground",""
"117","CCE","2024-07-28","McCoy Creek",181,"McCr4A","M1",5,"Core","Top of mineral appears mixed with organic, lots of fine roots",""
"118","CCE","2024-07-28","McCoy Creek",182,"McCr4A","M2",5,"Core","Top of mineral appears mixed with organic, lots of fine roots",""
"119","CCE","2024-07-28","McCoy Creek",184,"McCr4B","M1",5,"Core","","AR tree uprooted, measuring adventitious roots to remaining mineral soil on roots, only organic on AR tree is green moss"
"120","CCE","2024-07-28","McCoy Creek",185,"McCr4B","M2",5,"Core","","AR tree uprooted, measuring adventitious roots to remaining mineral soil on roots, only organic on AR tree is green moss"
"121","CCE","2024-07-28","McCoy Creek",187,"McCr4C","M1",5,"Core","",""
"122","CCE","2024-07-28","McCoy Creek",188,"McCr4C","M2",5,"Core","",""
"123","CCE","2024-07-28","McCoy Creek",191,"McCr5B","M1",5,"Core","",""
"124","CCE","2024-07-28","McCoy Creek",192,"McCr5B","M2",5,"Core","",""
"125","CCE","2024-07-28","McCoy Creek",194,"McCr5C","M1",5,"Core","","No m2 sample, hit frozen ground at bottom of m1 sample"
"126","CCE","2024-07-29","McCoy Creek",196,"McCr6A","M1",5,"Core","",""
"127","CCE","2024-07-29","McCoy Creek",197,"McCr6A","M2",5,"Core","",""
"128","CCE","2024-07-29","McCoy Creek",199,"McCr6B","M1",5,"Core","",""
"129","CCE","2024-07-29","McCoy Creek",200,"McCr6B","M2",5,"Core","",""
"130","CCE","2024-07-29","McCoy Creek",202,"McCr6C","M1",5,"Core","M1 sample taken with corer, M2 sample grab below core hole, likely influenced by standing water","Sample taken at 3.5 m because of large CWD, water filling hole as coring"
"131","CCE","2024-08-01","Munson Creek",204,"MuCr1A","M1",5,"Core","",""
"132","CCE","2024-08-01","Munson Creek",205,"MuCr1A","M2",5,"Core","",""
"133","CCE","2024-08-01","Munson Creek",207,"MuCr1B","M1",5,"Core","",""
"134","CCE","2024-08-01","Munson Creek",208,"MuCr1B","M2",5,"Core","",""
"135","CCE","2024-08-01","Munson Creek",210,"MuCr1C","M1",5,"Core","Odd organic deposit below m1 and mixed with m2. Bottom 6 cm of mineral core ",""
"136","CCE","2024-08-01","Munson Creek",211,"MuCr1C","M2",5,"Core","Odd organic deposit below m1 and mixed with m2. Bottom 6 cm of mineral core ",""
"137","CCE","2024-08-01","Munson Creek",214,"MuCr2B","M1",999,"Grab","Removed 10 cm of rock between org and min. Took grab sample below that, unknown depth. In M1 bag. Still very rocky. ",""
