"","date","project","fire_scar","site","plot","location","site_notes","seedlings_present","species","seedling_count","bd1","bd2","bd3"
"243","2024-07-22","CCE","Hess Creek","HeCr3","B","3 m","","yes","birch",9,0.26,0.24,0.14
"244","2024-07-18","CCE","Lost Horse","LoHo4 ","C","6 m","","no",NA,NA,NA,NA,NA
"245","2024-07-14","CCE","Haystack","Hays1","B","9 m","","no",NA,NA,NA,NA,NA
"246","2024-08-02","CCE","Teklanika ","Tekl5","C","3 m","","no",NA,NA,NA,NA,NA
"247","2024-07-16","CCE","Shovel Creek","ShCr4","C","3 m","","yes","black spruce",5,0.55,0.5,0.05
"248","2024-07-16","CCE","Shovel Creek","ShCr4","C","3 m","","yes","aspen",3,0.5,0.5,0.55
"249","2024-07-16","CCE","Shovel Creek","ShCr4","C","3 m","","yes","birch",13,0.5,0.5,0.45
"250","2024-07-18","CCE","Lost Horse","LoHo6","C","9 m","","no",NA,NA,NA,NA,NA
"251","2024-08-06","CCE","Dry Creek","DrCr6","C","3 m","","yes","black spruce",1,0.03,NA,NA
"252","2024-08-06","CCE","Dry Creek","DrCr6","C","3 m","","yes","birch",1,0.14,NA,NA
"253","2024-07-30","CCE","Nugget Creek","NuCr2","A","3 m","","yes","black spruce",1,0.07,NA,NA
"254","2024-07-18","CCE","Lost Horse","LoHo5","C","3 m","","no",NA,NA,NA,NA,NA
"255","2024-07-17","CCE","Shovel Creek","ShCr6","A","6 m","","no",NA,NA,NA,NA,NA
"256","2024-07-23","CCE","Hess Creek","HeCr6","B","3 m","","yes","black spruce",9,0.08,0.1,0.15
"257","2024-07-22","CCE","Hess Creek","HeCr2","A","9 m","","no",NA,NA,NA,NA,NA
"258","2024-07-30","CCE","Nugget Creek","NuCr1","C","6 m","","yes","black spruce",13,0.31,0.12,0.09
"259","2024-07-30","CCE","Nugget Creek","NuCr1","C","6 m","","yes","birch",6,0.11,0.06,0.09
"260","2024-07-28","CCE","McCoy Creek","McCr1","B","6 m","","yes","black spruce",9,0.01,0.01,0.01
"261","2024-08-06","CCE","Dry Creek","DrCr5","A","3 m","","yes","black spruce",1,0.01,NA,NA
"262","2024-08-03","CCE","Teklanika ","Tekl1","C","6 m","","no",NA,NA,NA,NA,NA
"263","2024-07-22","CCE","Hess Creek","HeCr1","B","9 m","","yes","black spruce",1,0.05,NA,NA
"264","2024-07-23","CCE","Hess Creek","HeCr4","C","9 m","","yes","black spruce",2,0.2,0.45,NA
"265","2024-07-23","CCE","Hess Creek","HeCr4","C","9 m","","yes","aspen",1,0.28,NA,NA
"266","2024-07-23","CCE","Hess Creek","HeCr4","C","9 m","","yes","birch",7,0.05,0.05,0.01
"267","2024-08-01","CCE","Munson Creek","MuCr2","B","6 m","","yes","black spruce",1,0.02,NA,NA
"268","2024-07-14","CCE","Haystack","Hays2","A","9 m","","no",NA,NA,NA,NA,NA
"269","2024-07-23","CCE","Hess Creek","HeCr5","B","9 m","","yes","black spruce",7,0.21,0.13,0.08
"270","2024-08-03","CCE","Teklanika ","Tekl1","B","3 m","","no",NA,NA,NA,NA,NA
"271","2024-07-15","CCE","Lost Horse","LoHo3","B","9 m","","no",NA,NA,NA,NA,NA
"272","2024-07-16","CCE","Shovel Creek","ShCr1","B","3 m","","yes","birch",1,0.15,NA,NA
"273","2024-08-02","CCE","Teklanika ","Tekl4","C","6 m","","no",NA,NA,NA,NA,NA
"274","2024-07-14","CCE","Haystack","Hays3","B","9 m","","no",NA,NA,NA,NA,NA
"275","2024-07-16","CCE","Shovel Creek","ShCr4","C","6 m","","yes","birch",1,0.05,NA,NA
"276","2024-07-28","CCE","McCoy Creek","McCr1","A","9 m","Aligned plot with pole rather than meter","yes","black spruce",5,0.01,0.01,0.01
"277","2024-08-01","CCE","Munson Creek","MuCr1","B","9 m","Quadrat placed at 9m just to capture seedlings. No other data collected at 9m","yes","black spruce",2,0.01,NA,NA
"278","2024-08-07","CCE","McCoy Creek","McCr3","C","3 m","","yes","black spruce",2,0.01,0.01,NA
"279","2024-07-18","CCE","Lost Horse","LoHo5","B","6 m","","no",NA,NA,NA,NA,NA
"280","2024-07-16","CCE","Shovel Creek","ShCr4","B","3 m","","yes","black spruce",1,0.1,NA,NA
"281","2024-08-03","CCE","Teklanika ","Tekl2","A","6 m","","no",NA,NA,NA,NA,NA
"282","2024-07-23","CCE","Hess Creek","HeCr4","C","6 m","","yes","birch",2,0.1,0.08,NA
"283","2024-07-25","CCE","Haystack","Hays6","B","3 m","","no",NA,NA,NA,NA,NA
"284","2024-07-15","CCE","Lost Horse","LoHo2","A","9 m","","no",NA,NA,NA,NA,NA
"285","2024-08-05","CCE","Dry Creek","DrCr3","A","6 m","","yes","black spruce",2,0.02,0.02,NA
"286","2024-08-01","CCE","Munson Creek","MuCr1","C","3 m","","no",NA,NA,NA,NA,NA
"287","2024-07-15","CCE","Lost Horse","LoHo3","B","3 m","","no",NA,NA,NA,NA,NA
"288","2024-07-14","CCE","Haystack","Hays3","B","6 m","","no",NA,NA,NA,NA,NA
"289","2024-07-16","CCE","Shovel Creek","ShCr3","B","3 m","","no",NA,NA,NA,NA,NA
"290","2024-08-03","CCE","Teklanika ","Tekl2","C","3 m","","yes","black spruce",23,0.1,0.05,0.04
"291","2024-08-01","CCE","Munson Creek","MuCr3","C","3 m","","yes","black spruce",1,0.72,NA,NA
"292","2024-07-16","CCE","Shovel Creek","ShCr3","B","6 m","","yes","black spruce",1,0.12,NA,NA
"293","2024-07-22","CCE","Hess Creek","HeCr1","C","6 m","","no",NA,NA,NA,NA,NA
"294","2024-07-29","CCE","McCoy Creek","McCr2","C","3 m","","no",NA,NA,NA,NA,NA
"295","2024-07-28","CCE","McCoy Creek","McCr1","C","3 m","","yes","black spruce",4,0.01,0.02,0.01
"296","2024-07-16","CCE","Shovel Creek","ShCr3","A","3 m","","yes","birch",1,0.1,NA,NA
"297","2024-07-16","CCE","Shovel Creek","ShCr3","A","3 m","","yes","black spruce",3,0.1,0.1,0.1
"298","2024-07-29","CCE","McCoy Creek","McCr2","B","3 m","","yes","black spruce",1,0.02,NA,NA
"299","2024-07-16","CCE","Shovel Creek","ShCr4","A","3 m","","yes","black spruce",2,0.01,0.01,NA
"300","2024-07-23","CCE","Hess Creek","HeCr6","A","3 m","","yes","birch",1,0.22,NA,NA
"301","2024-07-23","CCE","Hess Creek","HeCr6","A","3 m","","yes","black spruce",1,0.36,NA,NA
"302","2024-07-29","CCE","McCoy Creek","McCr6","A","3 m","","no",NA,NA,NA,NA,NA
"303","2024-07-15","CCE","Lost Horse","LoHo1","C","9 m","","no",NA,NA,NA,NA,NA
"304","2024-07-29","CCE","McCoy Creek","McCr6","C","3 m","","yes","black spruce",2,0.03,0.02,NA
"305","2024-08-01","CCE","Munson Creek","MuCr1","C","9 m","Added extra quadrat to capture seedlings. Did not collect data for anything other than seedlings. ","no",NA,NA,NA,NA,NA
"306","2024-07-25","CCE","Haystack","Hays5","A","3 m","","no",NA,NA,NA,NA,NA
"307","2024-07-28","CCE","McCoy Creek","McCr4","A","3 m","","no",NA,NA,NA,NA,NA
"308","2024-07-18","CCE","Lost Horse","LoHo6","A","6 m","","no",NA,NA,NA,NA,NA
"309","2024-08-04","CCE","Munson Creek","MuCr5","C","6 m","","no",NA,NA,NA,NA,NA
"310","2024-07-16","CCE","Shovel Creek","ShCr2","B","6 m","","yes","birch",3,0.1,0.05,0.05
"311","2024-07-16","CCE","Shovel Creek","ShCr2","B","6 m","","yes","black spruce",6,0.2,0.15,0.25
"312","2024-08-06","CCE","Dry Creek","DrCr6","B","3 m","","no",NA,NA,NA,NA,NA
"313","2024-07-25","CCE","Haystack","Hays4","A","3 m","","no",NA,NA,NA,NA,NA
"314","2024-07-22","CCE","Hess Creek","HeCr3","A","3 m","","yes","black spruce",5,0.13,0.08,0.17
"315","2024-07-22","CCE","Hess Creek","HeCr3","A","3 m","","yes","birch",1,0.05,NA,NA
"316","2024-07-14","CCE","Haystack","Hays1","A","6 m","","no",NA,NA,NA,NA,NA
"317","2024-07-22","CCE","Hess Creek","HeCr1","A","3 m","","no",NA,NA,NA,NA,NA
"318","2024-07-16","CCE","Shovel Creek","ShCr3","C","9 m","","yes","black spruce",2,0.05,0.01,NA
"319","2024-07-31","CCE","Nugget Creek","NuCr5","C","3 m","","no",NA,NA,NA,NA,NA
"320","2024-07-25","CCE","Haystack","Hays5","C","9 m","","no",NA,NA,NA,NA,NA
"321","2024-08-01","CCE","Munson Creek","MuCr2","A","3 m","","yes","birch",3,0.16,0.05,0.03
"322","2024-08-01","CCE","Munson Creek","MuCr2","A","3 m","","yes","black spruce",7,0.01,0.02,0.06
"323","2024-07-22","CCE","Hess Creek","HeCr2","C","6 m","","no",NA,NA,NA,NA,NA
"324","2024-07-16","CCE","Shovel Creek","ShCr1","C","3 m","","yes","black spruce",2,0.05,0.05,NA
"325","2024-07-17","CCE","Shovel Creek","ShCr6","C","6 m","","no",NA,NA,NA,NA,NA
"326","2024-07-30","CCE","Nugget Creek","NuCr2","A","6 m","","no",NA,NA,NA,NA,NA
"327","2024-07-23","CCE","Hess Creek","HeCr6","A","6 m","","yes","black spruce",3,0.08,0.1,0.09
"328","2024-07-14","CCE","Haystack","Hays1","B","3 m","","no",NA,NA,NA,NA,NA
"329","2024-07-14","CCE","Haystack","Hays2","B","6 m","","no",NA,NA,NA,NA,NA
"330","2024-07-30","CCE","Nugget Creek","NuCr2","B","3 m","","yes","black spruce",27,0.09,0.08,0.08
"331","2024-07-30","CCE","Nugget Creek","NuCr2","B","3 m","","yes","birch",37,0.01,0.01,0.08
"332","2024-07-30","CCE","Nugget Creek","NuCr1","B","6 m","","yes","birch",4,0.86,0.06,0.07
"333","2024-07-30","CCE","Nugget Creek","NuCr1","B","6 m","","yes","black spruce",3,0.29,0.24,0.1
"334","2024-07-29","CCE","McCoy Creek","McCr2","C","6 m","","no",NA,NA,NA,NA,NA
"335","2024-08-04","CCE","Munson Creek","MuCr4","C","3 m","","no",NA,NA,NA,NA,NA
"336","2024-08-03","CCE","Teklanika ","Tekl1","A","6 m","","no",NA,NA,NA,NA,NA
"337","2024-08-03","CCE","Teklanika ","Tekl2","B","3 m","","yes","black spruce",1,0.03,NA,NA
"338","2024-08-05","CCE","Dry Creek","DrCr1","B","3 m","","yes","black spruce",12,0.05,0.03,0.03
"339","2024-08-05","CCE","Dry Creek","DrCr1","B","3 m","","yes","birch",9,0.01,0.01,0.01
"340","2024-07-16","CCE","Shovel Creek","ShCr2","A","6 m","","yes","birch",4,0.1,0.3,0.15
"341","2024-07-16","CCE","Shovel Creek","ShCr2","A","6 m","","yes","black spruce",3,0.12,0.1,0.17
"342","2024-07-16","CCE","Shovel Creek","ShCr2","A","9 m","","yes","birch",1,0.01,NA,NA
"343","2024-07-16","CCE","Shovel Creek","ShCr2","A","9 m","","yes","black spruce",3,0.1,0.01,0.01
"344","2024-07-16","CCE","Shovel Creek","ShCr4","C","9 m","","no",NA,NA,NA,NA,NA
"345","2024-07-16","CCE","Shovel Creek","ShCr2","C","3 m","","yes","aspen",1,0.2,NA,NA
"346","2024-07-16","CCE","Shovel Creek","ShCr2","C","3 m","","yes","birch",4,0.01,0.25,0.01
"347","2024-07-16","CCE","Shovel Creek","ShCr2","C","3 m","","yes","black spruce",5,0.01,0.02,0.01
"348","2024-07-15","CCE","Lost Horse","LoHo1","C","6 m","","no",NA,NA,NA,NA,NA
"349","2024-08-05","CCE","Dry Creek","DrCr2","C","3 m","","yes","black spruce",2,0.03,0.03,NA
"350","2024-08-06","CCE","Dry Creek","DrCr5","C","6 m","","no",NA,NA,NA,NA,NA
"351","2024-08-06","CCE","Dry Creek","DrCr6","B","6 m","","yes","black spruce",1,0.05,NA,NA
"352","2024-07-22","CCE","Hess Creek","HeCr2","C","3 m","","yes","black spruce",9,0.02,0.01,0.06
"353","2024-07-22","CCE","Hess Creek","HeCr2","C","3 m","","yes","aspen",2,0.16,0.34,NA
"354","2024-07-31","CCE","Nugget Creek","NuCr5","B","3 m","","yes","black spruce",4,0.13,0.03,0.26
"355","2024-07-14","CCE","Haystack","Hays1","B","6 m","","no",NA,NA,NA,NA,NA
"356","2024-07-31","CCE","Nugget Creek","NuCr5","A","3 m","","no",NA,NA,NA,NA,NA
"357","2024-07-15","CCE","Lost Horse","LoHo2","C","6 m","","no",NA,NA,NA,NA,NA
"358","2024-08-05","CCE","Dry Creek","DrCr1","C","3 m","","no",NA,NA,NA,NA,NA
"359","2024-07-17","CCE","Shovel Creek","ShCr5","B","9 m","","no",NA,NA,NA,NA,NA
"360","2024-07-17","CCE","Shovel Creek","ShCr5","B","3 m","","yes","black spruce",1,0.1,NA,NA
"361","2024-07-23","CCE","Hess Creek","HeCr4","A","6 m","","yes","black spruce",2,0.1,0.01,NA
"362","2024-07-23","CCE","Hess Creek","HeCr4","A","6 m","","yes","black spruce",7,0.01,0.01,0.09
"363","2024-08-05","CCE","Dry Creek","DrCr2","C","6 m","","yes","black spruce",14,0.03,0.02,0.04
"364","2024-08-05","CCE","Dry Creek","DrCr2","C","6 m","","yes","birch",6,0.01,0.01,0.04
"365","2024-08-05","CCE","Dry Creek","DrCr1","A","6 m","","yes","black spruce",32,0.05,0.03,0.02
"366","2024-08-05","CCE","Dry Creek","DrCr1","A","6 m","","yes","birch",17,0.01,0.01,0.01
"367","2024-07-30","CCE","Nugget Creek","NuCr3","A","3 m","","yes","black spruce",8,0.14,0.11,0.09
"368","2024-07-30","CCE","Nugget Creek","NuCr3","A","3 m","","yes","birch",18,0.06,0.01,0.97
"369","2024-07-25","CCE","Haystack","Hays4","B","3 m","","no",NA,NA,NA,NA,NA
"370","2024-07-25","CCE","Haystack","Hays6","B","6 m","","no",NA,NA,NA,NA,NA
"371","2024-07-17","CCE","Shovel Creek","ShCr5","A","3 m","","no",NA,NA,NA,NA,NA
"372","2024-08-04","CCE","Munson Creek","MuCr5","A","3 m","","no",NA,NA,NA,NA,NA
"373","2024-07-25","CCE","Haystack","Hays6","A","9 m","","no",NA,NA,NA,NA,NA
"374","2024-08-05","CCE","Dry Creek","DrCr2","B","6 m","","no",NA,NA,NA,NA,NA
"375","2024-07-31","CCE","Nugget Creek","NuCr6","A","6 m","","yes","black spruce",3,0.04,0.12,0.04
"376","2024-07-16","CCE","Shovel Creek","ShCr2","A","9 m","","no",NA,NA,NA,NA,NA
"377","2024-07-15","CCE","Lost Horse","LoHo2","B","6 m","","no",NA,NA,NA,NA,NA
"378","2024-07-30","CCE","Nugget Creek","NuCr3","C","3 m","","yes","black spruce",6,0.34,0.02,0.02
"379","2024-07-30","CCE","Nugget Creek","NuCr3","C","3 m","","yes","birch",9,0.05,0.07,0.06
"380","2024-08-04","CCE","Munson Creek","MuCr5","B","6 m","","yes","black spruce",2,0.01,0.02,NA
"381","2024-07-15","CCE","Lost Horse","LoHo3","A","6 m","","no",NA,NA,NA,NA,NA
"382","2024-07-28","CCE","McCoy Creek","McCr4","B","6 m","","no",NA,NA,NA,NA,NA
"383","2024-07-17","CCE","Shovel Creek","ShCr6","C","3 m","","no",NA,NA,NA,NA,NA
"384","2024-07-23","CCE","Hess Creek","HeCr6","C","6 m","","yes","black spruce",1,0.15,NA,NA
"385","2024-08-07","CCE","McCoy Creek","McCr3","B","3 m","","yes","birch",8,0.06,0.01,0.02
"386","2024-08-07","CCE","McCoy Creek","McCr3","B","3 m","","yes","black spruce",12,0.01,0.01,0.01
"387","2024-07-15","CCE","Lost Horse","LoHo1","C","3 m","","no",NA,NA,NA,NA,NA
"388","2024-08-01","CCE","Munson Creek","MuCr2","B","3 m","2nd pic is Unkn liverwort in ground cover","yes","black spruce",9,0.06,0.04,0.05
"389","2024-07-29","CCE","McCoy Creek","McCr2","A","3 m","","no",NA,NA,NA,NA,NA
"390","2024-07-25","CCE","Haystack","Hays4","B","9 m","","no",NA,NA,NA,NA,NA
"391","2024-07-16","CCE","Shovel Creek","ShCr1","C","6 m","","yes","black spruce",1,0.02,NA,NA
"392","2024-07-31","CCE","Nugget Creek","NuCr4","B","3 m","","yes","black spruce",1,0.02,NA,NA
"393","2024-07-15","CCE","Lost Horse","LoHo1","B","6 m","","no",NA,NA,NA,NA,NA
"394","2024-08-02","CCE","Teklanika ","Tekl4","B","3 m","","no",NA,NA,NA,NA,NA
"395","2024-07-29","CCE","McCoy Creek","McCr2","A","6 m","","no",NA,NA,NA,NA,NA
"396","2024-08-07","CCE","McCoy Creek","McCr3","A","3 m","","yes","black spruce",4,0.03,0.01,0.01
"397","2024-08-07","CCE","McCoy Creek","McCr3","A","3 m","","yes","birch",2,0.01,0.01,NA
"398","2024-07-30","CCE","Nugget Creek","NuCr3","A","6 m","","yes","black spruce",19,0.09,0.11,0.14
"399","2024-07-30","CCE","Nugget Creek","NuCr3","A","6 m","","yes","birch",41,0.07,0.07,1
"400","2024-07-14","CCE","Haystack","Hays3","A","3 m","","no",NA,NA,NA,NA,NA
"401","2024-07-31","CCE","Nugget Creek","NuCr4","B","6 m","","yes","black spruce",9,0.06,0.07,0.58
"402","2024-08-06","CCE","Dry Creek","DrCr4","B","3 m","","yes","black spruce",2,0.04,0.01,NA
"403","2024-07-31","CCE","Nugget Creek","NuCr4","C","3 m","","yes","black spruce",39,0.21,0.07,0.19
"404","2024-07-31","CCE","Nugget Creek","NuCr4","C","3 m","","yes","birch",1,0.11,NA,NA
"405","2024-07-23","CCE","Hess Creek","HeCr5","B","6 m","","yes","black spruce",1,0.01,NA,NA
"406","2024-07-28","CCE","McCoy Creek","McCr4","B","3 m","","yes","birch",1,0.9,NA,NA
"407","2024-07-29","CCE","McCoy Creek","McCr6","B","6 m","","no",NA,NA,NA,NA,NA
"408","2024-07-23","CCE","Hess Creek","HeCr4","A","9 m","","no",NA,NA,NA,NA,NA
"409","2024-07-14","CCE","Haystack","Hays2","A","3 m","","no",NA,NA,NA,NA,NA
"410","2024-08-01","CCE","Munson Creek","MuCr3","A","3 m","","yes","black spruce",1,0.01,NA,NA
"411","2024-08-01","CCE","Munson Creek","MuCr3","A","3 m","","yes","birch",1,0.01,NA,NA
"412","2024-08-01","CCE","Munson Creek","MuCr2","A","6 m","","no",NA,NA,NA,NA,NA
"413","2024-07-15","CCE","Lost Horse","LoHo3","C","9 m","","no",NA,NA,NA,NA,NA
"414","2024-08-01","CCE","Munson Creek","MuCr1","A","0 m","0m, not 9m. Entered as 9 due to fulcrum set up.","yes","black spruce",2,0.04,0.1,NA
"415","2024-07-23","CCE","Hess Creek","HeCr6","B","9 m","","yes","black spruce",6,0.06,0.01,0.17
"416","2024-07-16","CCE","Shovel Creek","ShCr2","A","3 m","","yes","birch",6,0.6,0.05,0.05
"417","2024-07-16","CCE","Shovel Creek","ShCr2","A","3 m","","yes","black spruce",4,0.05,0.05,0.05
"418","2024-07-30","CCE","Nugget Creek","NuCr3","C","6 m","","yes","black spruce",24,0.29,0.09,0.08
"419","2024-07-30","CCE","Nugget Creek","NuCr3","C","6 m","","yes","birch",6,0.1,0.13,0.07
"420","2024-07-28","CCE","McCoy Creek","McCr5","C","3 m","","yes","black spruce",4,0.04,0.01,0.01
"421","2024-07-16","CCE","Shovel Creek","ShCr2","B","9 m","","yes","birch",3,0.02,0.01,0.01
"422","2024-07-16","CCE","Shovel Creek","ShCr2","B","9 m","","yes","black spruce",7,0.02,0.05,0.12
"423","2024-08-05","CCE","Dry Creek","DrCr1","A","3 m","","yes","black spruce",9,0.03,0.06,0.02
"424","2024-08-05","CCE","Dry Creek","DrCr1","A","3 m","","yes","birch",2,0.04,0.01,NA
"425","2024-07-22","CCE","Hess Creek","HeCr2","B","3 m","","yes","birch",15,1.85,1.39,0.55
"426","2024-07-22","CCE","Hess Creek","HeCr2","B","3 m","","yes","aspen",1,0.15,NA,NA
"427","2024-07-23","CCE","Hess Creek","HeCr4","C","3 m","Old soil sampling hole in plot from LC","yes","black spruce",7,0.04,0.09,0.07
"428","2024-07-23","CCE","Hess Creek","HeCr4","C","3 m","Old soil sampling hole in plot from LC","yes","birch",16,0.08,0.11,0.05
"429","2024-08-06","CCE","Dry Creek","DrCr4","C","6 m","","yes","black spruce",1,0.5,NA,NA
"430","2024-08-05","CCE","Dry Creek","DrCr3","B","6 m","","yes","black spruce",2,0.01,0.02,NA
"431","2024-07-31","CCE","Nugget Creek","NuCr6","C","6 m","","no",NA,NA,NA,NA,NA
"432","2024-08-02","CCE","Teklanika ","Tekl6","C","3 m","","no",NA,NA,NA,NA,NA
"433","2024-07-30","CCE","Nugget Creek","NuCr2","C","6 m","","no",NA,NA,NA,NA,NA
"434","2024-07-25","CCE","Haystack","Hays6","B","9 m","","no",NA,NA,NA,NA,NA
"435","2024-07-18","CCE","Lost Horse","LoHo6","B","6 m","","no",NA,NA,NA,NA,NA
"436","2024-07-17","CCE","Shovel Creek","ShCr5","A","6 m","","yes","aspen",1,0.3,NA,NA
"437","2024-07-23","CCE","Hess Creek","HeCr6","C","9 m","","yes","black spruce",4,0.2,0.25,0.1
"438","2024-07-23","CCE","Hess Creek","HeCr6","C","9 m","","yes","birch",1,0.1,NA,NA
"439","2024-07-14","CCE","Haystack","Hays3","C","3 m","","yes","black spruce",1,0.01,NA,NA
"440","2024-07-29","CCE","McCoy Creek","McCr6","C","6 m","","yes","black spruce",2,0.01,0.03,NA
"441","2024-07-28","CCE","McCoy Creek","McCr5","C","6 m","","yes","black spruce",2,0.03,0.01,NA
"442","2024-08-04","CCE","Munson Creek","MuCr5","C","3 m","","yes","black spruce",3,0.04,0.03,0.03
"443","2024-07-22","CCE","Hess Creek","HeCr3","C","3 m","","yes","black spruce",3,0.23,0.31,0.12
"444","2024-07-22","CCE","Hess Creek","HeCr1","B","6 m","","no",NA,NA,NA,NA,NA
"445","2024-08-03","CCE","Teklanika ","Tekl3","A","3 m","","no",NA,NA,NA,NA,NA
"446","2024-07-31","CCE","Nugget Creek","NuCr5","C","6 m","","no",NA,NA,NA,NA,NA
"447","2024-08-02","CCE","Teklanika ","Tekl6","B","3 m","","no",NA,NA,NA,NA,NA
"448","2024-07-14","CCE","Haystack","Hays3","A","6 m","","no",NA,NA,NA,NA,NA
"449","2024-08-06","CCE","Dry Creek","DrCr6","A","3 m","","yes","black spruce",1,0.02,NA,NA
"450","2024-07-14","CCE","Haystack","Hays3","B","3 m","","no",NA,NA,NA,NA,NA
"451","2024-08-05","CCE","Dry Creek","DrCr3","C","6 m","","no",NA,NA,NA,NA,NA
"452","2024-07-25","CCE","Haystack","Hays5","B","3 m","","no",NA,NA,NA,NA,NA
"453","2024-07-15","CCE","Lost Horse","LoHo2","C","3 m","","no",NA,NA,NA,NA,NA
"454","2024-08-01","CCE","Munson Creek","MuCr1","A","6 m","","yes","black spruce",3,0.01,0.03,0.02
"455","2024-08-01","CCE","Munson Creek","MuCr1","A","6 m","","yes","birch",4,0.07,0.02,0.01
"456","2024-07-14","CCE","Haystack","Hays3","A","9 m","","no",NA,NA,NA,NA,NA
"457","2024-08-04","CCE","Munson Creek","MuCr5","B","3 m","","no",NA,NA,NA,NA,NA
"458","2024-07-18","CCE","Lost Horse","LoHo4 ","A","9 m","","no",NA,NA,NA,NA,NA
"459","2024-07-22","CCE","Hess Creek","HeCr3","C","9 m","","yes","black spruce",6,0.11,0.1,0.11
"460","2024-07-22","CCE","Hess Creek","HeCr3","C","9 m","","yes","aspen",1,0.11,NA,NA
"461","2024-07-22","CCE","Hess Creek","HeCr3","C","9 m","","yes","birch",20,0.11,0.12,0.11
"462","2024-08-06","CCE","Dry Creek","DrCr6","A","6 m","","no",NA,NA,NA,NA,NA
"463","2024-07-25","CCE","Haystack","Hays6","C","9 m","","no",NA,NA,NA,NA,NA
"464","2024-08-01","CCE","Munson Creek","MuCr3","A","6 m","","yes","black spruce",1,0.05,NA,NA
"465","2024-08-04","CCE","Munson Creek","MuCr4","C","6 m","","no",NA,NA,NA,NA,NA
"466","2024-08-03","CCE","Teklanika ","Tekl3","B","6 m","","no",NA,NA,NA,NA,NA
"467","2024-07-17","CCE","Shovel Creek","ShCr6","A","3 m","","no",NA,NA,NA,NA,NA
"468","2024-07-14","CCE","Haystack","Hays2","B","9 m","","no",NA,NA,NA,NA,NA
"469","2024-07-28","CCE","McCoy Creek","McCr1","A","6 m","","yes","black spruce",4,0.01,0.01,0.01
"470","2024-07-31","CCE","Nugget Creek","NuCr4","C","6 m","","yes","black spruce",1,0.04,NA,NA
"471","2024-07-17","CCE","Shovel Creek","ShCr6","B","9 m","","no",NA,NA,NA,NA,NA
"472","2024-07-18","CCE","Lost Horse","LoHo5","B","9 m","","no",NA,NA,NA,NA,NA
"473","2024-07-15","CCE","Lost Horse","LoHo3","C","6 m","","no",NA,NA,NA,NA,NA
"474","2024-08-03","CCE","Teklanika ","Tekl3","B","3 m","","no",NA,NA,NA,NA,NA
"475","2024-07-23","CCE","Hess Creek","HeCr5","C","6 m","","yes","black spruce",4,0.01,0.05,0.05
"476","2024-07-23","CCE","Hess Creek","HeCr4","B","6 m","LC soil sample hole in plot","no",NA,NA,NA,NA,NA
"477","2024-07-29","CCE","McCoy Creek","McCr6","B","3 m","","no",NA,NA,NA,NA,NA
"478","2024-07-18","CCE","Lost Horse","LoHo5","A","3 m","","no",NA,NA,NA,NA,NA
"479","2024-08-01","CCE","Munson Creek","MuCr2","C","3 m","","yes","black spruce",5,0.11,0.07,0.01
"480","2024-08-01","CCE","Munson Creek","MuCr2","C","3 m","","yes","birch",2,0.01,0.04,NA
"481","2024-07-15","CCE","Lost Horse","LoHo1","A","3 m","","no",NA,NA,NA,NA,NA
"482","2024-07-18","CCE","Lost Horse","LoHo5","B","3 m","","no",NA,NA,NA,NA,NA
